region,male,female,total,ftom
1,11,197,208,17.91
2,947,8595,9542,9.08
3,76,959,1035,12.62
4,19,159,178,8.37
5,592,3078,3670,5.2
6,2,7,9,3.5
7,38,596,634,15.68
8,4,66,70,16.5
9,31,266,297,8.58
10,2,8,10,4
11,51,651,702,12.76
12,68,636,704,9.35
13,227,2496,2723,11
14,97,1568,1665,16.16
15,416,4351,4767,10.46
16,19,62,81,3.26
17,12,144,156,12
18,293,2140,2433,7.3
19,34,374,408,11
20,167,1227,1394,7.35
21,430,3623,4053,8.43
22,120,1100,1220,9.17
23,1126,10133,11259,9
24,421,4765,5186,11.32
25,112,975,1087,8.71
26,990,9671,10661,9.77
27,290,2624,2914,9.05
28,109,1164,1273,10.68
29,59,638,697,10.81
30,59,518,577,8.78
31,124,1742,1866,14.05
32,250,2653,2903,10.61
33,90,781,871,8.68
34,73,734,807,10.05
35,44,388,432,8.82
36,271,2738,3009,10.1
37,4,15,19,3.75
38,89,1095,1184,12.3
39,269,2363,2632,8.78
40,18,157,175,8.72
41,6,38,44,6.33
42,417,4306,4723,10.33
43,145,1286,1431,8.87
44,4,19,23,4.75
45,67,480,547,7.16
46,231,2338,2569,10.12
47,69,489,558,7.09
48,175,1395,1570,7.97
49,17,160,177,9.41
50,2245,21622,23867,9.63
51,7,44,51,6.29
52,89,770,859,8.65
53,122,1035,1157,8.48
54,1184,10659,11843,9
55,483,4422,4905,9.16
56,232,2484,2716,10.71
57,1,11,12,11
58,575,2917,3492,5.07
59,155,1487,1642,9.59
60,31,227,258,7.32
61,407,3550,3957,8.72
62,23,271,294,11.78
63,1920,16746,18666,8.72
64,450,4585,5035,10.19
65,109,949,1058,8.71
66,382,3296,3678,8.63
67,50,528,578,10.56
68,239,2622,2861,10.97
69,8,50,58,6.25
70,105,996,1101,9.49
71,113,1230,1343,10.88
72,391,4290,4681,10.97
73,59,649,708,11
74,577,4655,5232,8.07
75,88,1145,1233,13.01
76,121,949,1070,7.84
77,305,1798,2103,5.9
78,257,1666,1923,6.48
79,3,33,36,11
83,17,194,211,11.41
86,301,2480,2781,8.24
87,14,145,159,10.36
89,75,713,788,9.51
91,4,16,20,4
92,7,33,40,4.71
99,15,9,24,0.6
total,20349,185244,205593,9.1
